Applicant_Income,Loan_Amount,Credit_Score,Debt_to_Income_Ratio,Employment_History,Previous_Defaults,Loan_Term,Interest_Rate,Loan_Purpose,Marital_Status,Number_of_Dependents,Residence_Status,Bankruptcies,Annual_Expenses,Co-Applicant_Income,Education_Level,Self_Employed,Home_Ownership,Credit_History_Length,Missed_Payments,Loan_Application_Type,Monthly_Installment,Employment_Type,State,Default
87221,41976,801,0.7,22,0,36,11.23,Personal,Widowed,2,Rented,1,11444,9003,High School,0,Rent,4,6,Individual,4527,Unemployed,CA,1
84820,16590,324,0.47,4,0,36,8.26,Business,Widowed,4,Owned,1,24646,54097,Bachelor's,0,Own,14,2,Joint,938,Unemployed,PA,0
20769,15886,486,0.26,35,4,60,7.94,Home Improvement,Widowed,2,Mortgaged,0,16630,57513,Bachelor's,0,Rent,24,0,Individual,1262,Salaried,NC,0
79735,17866,587,0.19,23,3,60,4.83,Home Improvement,Widowed,3,Mortgaged,0,67125,88843,PhD,0,Rent,3,5,Joint,4965,Salaried,NY,0
82955,6088,637,0.35,35,4,60,7.3,Medical,Divorced,4,Rented,1,76103,47613,Bachelor's,1,Rent,13,8,Individual,1396,Retired,FL,0
84925,8363,336,0.28,4,4,48,14.88,Home Improvement,Married,1,Owned,1,73579,69981,High School,0,Rent,3,3,Joint,224,Unemployed,CA,0
141637,37792,436,0.45,38,1,24,5.87,Business,Widowed,3,Rented,0,47532,63139,Bachelor's,0,Own,8,6,Individual,2180,Salaried,CA,0
87969,14764,807,0.78,5,4,36,12.03,Medical,Married,0,Rented,1,65788,13902,Bachelor's,0,Mortgage,18,2,Joint,4496,Self-Employed,FL,1
25311,25620,526,0.5,35,4,24,3.24,Medical,Single,4,Owned,1,42813,72145,High School,0,Own,19,0,Joint,177,Self-Employed,FL,1
123355,47727,619,0.72,3,1,48,8.34,Business,Single,2,Mortgaged,0,53812,88024,PhD,0,Own,4,4,Individual,2452,Retired,FL,0
124724,17935,481,0.56,9,2,24,3.23,Business,Married,4,Rented,0,29190,18135,PhD,0,Mortgage,10,0,Individual,1229,Unemployed,PA,0
103104,13068,385,0.43,0,2,24,8.45,Business,Married,0,Mortgaged,2,85266,87120,PhD,0,Mortgage,3,1,Individual,2679,Retired,FL,0
73707,12295,766,0.7,20,1,60,2.84,Business,Single,4,Rented,1,72797,57792,Master's,0,Rent,12,6,Joint,4306,Self-Employed,IL,1
105305,46160,352,0.43,39,4,24,10.17,Medical,Divorced,2,Owned,0,29167,9316,PhD,0,Rent,24,0,Joint,4376,Self-Employed,NC,1
48693,16390,534,0.71,38,0,24,9.83,Home Improvement,Divorced,3,Owned,0,33510,1392,High School,1,Own,6,5,Joint,2512,Retired,NY,0
91932,46216,732,0.3,36,3,24,12.47,Business,Widowed,3,Mortgaged,1,59912,18202,PhD,0,Rent,19,6,Individual,1771,Unemployed,NC,1
147723,25131,795,0.19,2,0,12,9.79,Education,Divorced,2,Rented,1,76196,1683,High School,0,Mortgage,23,3,Joint,2900,Salaried,NC,1
113016,34218,399,0.7,30,0,36,14.07,Medical,Divorced,1,Owned,0,81786,77329,Master's,0,Mortgage,4,3,Individual,4360,Retired,MI,0
126970,15433,702,0.51,26,4,36,12.29,Personal,Widowed,1,Rented,1,59849,26431,Bachelor's,0,Rent,3,1,Joint,583,Retired,GA,1
45658,20038,695,0.72,16,3,24,4.16,Home Improvement,Widowed,3,Rented,2,83502,45820,High School,0,Own,18,4,Joint,4500,Retired,CA,0
104478,33182,826,0.76,22,3,60,5.82,Medical,Divorced,0,Mortgaged,0,24833,75016,Master's,0,Rent,8,6,Individual,551,Unemployed,FL,0
142537,16528,714,0.14,12,2,60,2.83,Business,Married,4,Rented,0,84758,2249,Master's,1,Mortgage,24,3,Joint,3201,Retired,GA,0
38431,26281,762,0.45,26,1,60,7.33,Education,Widowed,2,Rented,1,27208,9333,Bachelor's,0,Mortgage,2,7,Individual,1943,Unemployed,MI,0
22747,13605,840,0.36,19,4,36,8.87,Personal,Married,0,Mortgaged,0,76514,43376,High School,1,Own,25,7,Individual,921,Salaried,FL,0
143855,39782,663,0.54,12,3,48,14.32,Home Improvement,Single,4,Owned,1,68647,78208,PhD,1,Mortgage,28,6,Joint,1687,Salaried,GA,1
79150,6381,429,0.66,23,4,24,9.03,Business,Widowed,3,Rented,2,21988,22074,Master's,0,Own,7,2,Joint,1293,Retired,PA,0
85725,6098,383,0.3,2,2,36,12.26,Medical,Married,2,Rented,2,77260,87971,PhD,1,Own,11,9,Joint,3942,Salaried,PA,0
149981,24810,570,0.49,9,0,60,5.85,Medical,Widowed,0,Owned,2,69882,31054,High School,0,Rent,6,8,Joint,2498,Retired,TX,0
104654,29322,543,0.6,0,3,36,4.41,Home Improvement,Widowed,4,Mortgaged,0,81756,56736,High School,0,Rent,19,7,Individual,627,Self-Employed,IL,1
55773,46869,687,0.19,12,2,36,12.64,Education,Widowed,3,Owned,2,88789,11584,Bachelor's,1,Own,3,9,Individual,1840,Salaried,GA,0
139346,37955,513,0.67,13,4,36,5.59,Business,Widowed,3,Rented,1,77867,29834,PhD,0,Rent,13,0,Joint,2218,Self-Employed,OH,0
87435,49716,465,0.52,32,2,60,13.39,Home Improvement,Married,4,Rented,1,26031,25497,High School,0,Mortgage,20,8,Joint,3781,Salaried,PA,1
76886,15207,358,0.76,1,2,48,4.62,Home Improvement,Married,1,Mortgaged,2,33372,63833,Bachelor's,0,Own,27,6,Joint,3725,Retired,NY,0
86803,26793,803,0.34,1,2,12,13.14,Medical,Married,1,Mortgaged,2,24817,58053,Master's,0,Own,25,9,Joint,2094,Unemployed,PA,1
51551,7092,422,0.18,38,2,24,12.16,Home Improvement,Single,4,Owned,1,34439,37856,PhD,0,Rent,24,9,Individual,733,Salaried,NC,0
136216,33220,712,0.45,30,2,24,10.14,Personal,Widowed,4,Mortgaged,2,13217,446,Bachelor's,0,Own,2,3,Individual,1859,Unemployed,MI,0
31394,23514,438,0.16,3,2,36,13.13,Personal,Widowed,4,Owned,2,51034,68045,Bachelor's,0,Own,29,4,Joint,3280,Retired,TX,0
89092,43010,528,0.78,33,1,48,6.63,Business,Married,3,Owned,2,97890,11479,Master's,0,Own,5,6,Joint,3671,Retired,IL,1
23890,13549,573,0.13,18,4,60,4.58,Home Improvement,Married,2,Rented,1,97801,43813,Bachelor's,1,Rent,15,7,Individual,1412,Unemployed,PA,0
61606,27031,738,0.63,36,0,12,4.46,Medical,Widowed,3,Owned,1,33599,73085,Bachelor's,0,Own,10,3,Joint,2494,Salaried,IL,0
116276,10185,417,0.47,8,4,12,5.88,Business,Widowed,3,Owned,2,39437,1072,Master's,0,Own,6,6,Individual,3018,Self-Employed,NY,0
145768,20271,782,0.36,23,3,36,8.08,Education,Single,1,Mortgaged,1,23888,44648,Bachelor's,0,Own,14,5,Individual,1866,Self-Employed,NC,0
100038,10776,694,0.15,12,3,36,13.45,Medical,Widowed,4,Mortgaged,2,23353,31376,PhD,0,Rent,21,8,Individual,3169,Retired,FL,1
107313,17449,759,0.54,29,4,60,3.62,Education,Married,3,Rented,2,79765,19512,High School,0,Own,1,3,Joint,1678,Retired,NC,1
30627,29297,377,0.51,18,2,60,13.94,Business,Single,3,Rented,2,33354,44557,Bachelor's,0,Own,9,3,Individual,2578,Retired,MI,1
28792,45591,711,0.3,9,1,60,14.07,Personal,Divorced,4,Rented,0,62242,6839,Bachelor's,0,Rent,10,2,Joint,439,Self-Employed,MI,0
128859,20717,374,0.74,13,0,36,11.59,Medical,Divorced,2,Owned,0,24187,53270,High School,0,Own,28,7,Joint,4235,Retired,NC,1
128557,45123,594,0.31,39,2,48,13.75,Medical,Widowed,1,Mortgaged,2,21068,89665,Bachelor's,1,Own,22,7,Joint,2587,Retired,PA,0
93969,44233,320,0.41,19,4,36,12.12,Business,Married,0,Owned,0,61183,25012,Master's,0,Own,21,3,Individual,3659,Retired,OH,0
63001,15350,470,0.48,3,4,36,9.1,Medical,Widowed,3,Rented,2,54151,21388,PhD,0,Own,11,2,Joint,3484,Unemployed,IL,0
96552,35622,314,0.17,37,1,12,10.01,Medical,Married,2,Mortgaged,0,26257,33361,Master's,0,Own,22,5,Individual,4868,Retired,IL,1
43897,40323,510,0.75,38,1,60,10.35,Business,Married,0,Owned,2,78942,43520,High School,0,Mortgage,19,8,Joint,2335,Self-Employed,CA,0
88148,7951,385,0.36,4,4,24,4.09,Home Improvement,Married,4,Mortgaged,0,63142,13284,Master's,0,Own,9,7,Individual,3244,Unemployed,GA,0
141729,22622,448,0.16,31,2,60,4.91,Business,Divorced,0,Owned,1,67874,65812,PhD,0,Mortgage,12,6,Joint,3402,Salaried,IL,0
144243,9727,671,0.37,5,2,48,9.04,Medical,Widowed,4,Rented,1,34416,20971,Bachelor's,0,Mortgage,20,6,Joint,133,Self-Employed,TX,1
140923,43454,779,0.52,13,2,48,3.94,Business,Widowed,2,Owned,0,55125,8274,Master's,0,Mortgage,6,4,Individual,3655,Retired,IL,0
140174,41469,450,0.46,5,0,60,14.56,Medical,Divorced,0,Owned,2,18625,79973,Bachelor's,1,Mortgage,16,1,Joint,3759,Salaried,CA,0
43483,40548,440,0.59,13,0,60,8.84,Education,Married,1,Rented,0,58530,46305,Bachelor's,0,Mortgage,13,8,Joint,3527,Salaried,FL,0
144358,28782,368,0.14,11,2,36,7.25,Education,Single,2,Rented,0,44397,40321,PhD,0,Rent,6,2,Individual,3766,Unemployed,NC,0
68555,33454,559,0.3,26,4,24,4.47,Personal,Single,0,Owned,1,87461,33235,PhD,0,Rent,13,8,Joint,1354,Retired,NY,0
145436,7368,820,0.67,25,1,36,7.71,Business,Divorced,3,Owned,1,91282,80670,Bachelor's,0,Rent,15,9,Joint,1784,Unemployed,FL,0
37159,20592,670,0.16,11,3,12,6.28,Business,Single,0,Owned,1,32660,70796,PhD,0,Mortgage,18,1,Joint,2895,Retired,FL,0
130510,27173,718,0.7,7,1,12,3.6,Education,Married,0,Rented,0,70637,65037,Bachelor's,1,Own,16,0,Joint,276,Retired,PA,0
126530,38204,400,0.16,9,1,48,14.59,Education,Married,1,Rented,1,83794,997,Bachelor's,0,Own,9,9,Joint,734,Unemployed,GA,0
100077,40596,542,0.68,15,3,48,5.81,Education,Widowed,2,Rented,1,84395,42252,Master's,0,Own,18,6,Joint,1595,Retired,CA,0
55920,39324,811,0.35,25,2,24,11.13,Personal,Married,3,Mortgaged,1,87696,69631,Bachelor's,0,Own,10,0,Joint,2291,Unemployed,TX,0
112067,28864,394,0.53,7,1,48,3.64,Personal,Married,2,Mortgaged,2,26533,9559,High School,0,Rent,12,7,Joint,309,Self-Employed,PA,1
87121,35750,525,0.21,28,3,12,13.91,Home Improvement,Married,2,Rented,2,56508,95207,PhD,0,Mortgage,5,2,Individual,3503,Unemployed,TX,0
89479,15576,817,0.15,19,4,24,9.88,Business,Single,3,Mortgaged,0,39490,44894,High School,0,Rent,27,2,Joint,1374,Salaried,OH,0
109475,21566,513,0.25,16,4,12,10.71,Personal,Single,3,Mortgaged,1,47478,23409,High School,0,Own,2,8,Joint,2389,Self-Employed,NC,0
39457,12190,366,0.19,18,4,60,12.27,Medical,Divorced,1,Owned,0,31584,32861,Master's,1,Mortgage,9,0,Individual,2712,Self-Employed,NC,0
86557,28071,695,0.32,16,2,60,10.07,Business,Divorced,4,Owned,0,23929,74650,High School,0,Own,18,6,Individual,3002,Retired,NY,0
97189,43333,311,0.46,38,1,24,3.39,Home Improvement,Single,1,Owned,1,24130,65123,PhD,0,Rent,24,1,Individual,1299,Self-Employed,NY,0
129109,20369,536,0.51,0,1,36,7.87,Education,Widowed,3,Mortgaged,0,40457,44101,Bachelor's,0,Rent,27,2,Individual,4488,Self-Employed,TX,0
98953,29035,698,0.65,28,0,48,5.78,Home Improvement,Widowed,0,Mortgaged,1,11821,72829,PhD,0,Rent,27,9,Joint,1168,Unemployed,TX,0
72995,6589,706,0.56,13,4,24,8.58,Business,Single,0,Owned,1,58615,83829,Master's,0,Own,1,7,Individual,4910,Self-Employed,PA,0
60757,30235,779,0.53,16,2,48,7.55,Education,Divorced,2,Owned,2,51434,93566,Master's,0,Mortgage,14,2,Individual,4838,Self-Employed,NY,0
29692,5159,521,0.39,12,3,12,12.83,Home Improvement,Widowed,2,Rented,0,38200,13499,Bachelor's,0,Mortgage,3,1,Individual,2537,Self-Employed,NY,1
65758,17145,455,0.43,28,2,36,5.59,Home Improvement,Married,4,Mortgaged,0,61692,63993,High School,0,Rent,23,6,Individual,3561,Unemployed,PA,0
149425,20373,727,0.39,33,1,48,5.02,Business,Widowed,4,Owned,1,20904,27205,Bachelor's,1,Mortgage,11,2,Joint,3760,Unemployed,IL,1
92409,36921,457,0.69,26,4,60,14.48,Personal,Widowed,4,Owned,2,45386,88974,High School,1,Own,22,7,Joint,2304,Self-Employed,MI,0
91211,44323,715,0.26,32,0,60,14.37,Medical,Widowed,4,Owned,2,29233,31031,High School,0,Mortgage,27,3,Individual,2076,Self-Employed,GA,0
85697,21237,625,0.1,28,2,12,14.92,Home Improvement,Divorced,0,Mortgaged,0,86966,65469,High School,0,Own,18,5,Joint,4974,Retired,GA,0
57065,46971,670,0.56,36,0,24,9.6,Medical,Divorced,3,Owned,2,91222,59148,High School,0,Rent,25,7,Joint,3973,Salaried,GA,1
112093,13244,643,0.24,38,1,48,3.91,Business,Single,4,Owned,0,25219,99462,High School,0,Rent,2,3,Individual,4418,Self-Employed,IL,0
119299,19743,561,0.72,18,3,12,13.5,Business,Widowed,1,Owned,0,17893,97900,Bachelor's,0,Rent,22,4,Joint,3919,Salaried,PA,0
149293,36566,582,0.7,23,2,60,4.31,Personal,Divorced,4,Owned,2,97264,5221,Master's,0,Mortgage,17,2,Joint,2271,Salaried,PA,0
52606,23691,528,0.15,13,1,60,4.44,Education,Divorced,0,Owned,1,65725,98661,Master's,0,Own,27,3,Individual,2952,Retired,TX,1
147791,38996,579,0.17,36,4,60,4.92,Medical,Single,2,Rented,0,90677,34986,Master's,0,Rent,3,9,Joint,4742,Self-Employed,NC,1
31534,10590,589,0.45,4,2,36,10.67,Home Improvement,Married,1,Owned,0,15598,56684,Bachelor's,0,Own,21,7,Individual,4074,Unemployed,PA,0
114663,10585,346,0.53,23,0,36,3.84,Education,Married,4,Rented,0,36732,7906,PhD,0,Rent,7,6,Joint,3032,Unemployed,IL,0
60397,14227,513,0.29,33,2,60,12.23,Medical,Widowed,0,Mortgaged,0,95408,43019,Bachelor's,0,Own,3,5,Joint,3559,Self-Employed,TX,0
146678,33278,323,0.6,30,1,24,3.23,Medical,Married,2,Mortgaged,2,64644,74806,Master's,0,Rent,25,4,Individual,3440,Salaried,MI,1
111387,43814,620,0.52,29,1,36,3.88,Education,Single,4,Mortgaged,2,22565,57845,PhD,0,Own,15,8,Joint,4211,Unemployed,FL,0
21016,17237,573,0.33,8,0,48,7.93,Education,Divorced,0,Mortgaged,2,56270,6074,High School,0,Own,4,3,Individual,4708,Unemployed,OH,0
109789,20649,612,0.12,26,1,36,7.24,Personal,Married,0,Mortgaged,2,53674,99189,Master's,0,Own,25,2,Joint,1157,Salaried,NC,0
75591,42713,662,0.63,27,2,48,14.87,Home Improvement,Widowed,3,Owned,0,23332,84859,Master's,1,Mortgage,15,5,Individual,4549,Retired,TX,1
109812,12927,679,0.25,25,0,36,14.59,Home Improvement,Widowed,0,Owned,1,41668,90714,High School,1,Rent,3,1,Joint,3139,Retired,TX,0
43247,12016,769,0.68,17,1,60,4.87,Home Improvement,Divorced,4,Mortgaged,1,64946,45380,PhD,0,Own,11,8,Individual,242,Unemployed,IL,0
44300,19027,415,0.39,35,1,48,14.33,Education,Widowed,0,Owned,2,67593,75692,High School,0,Mortgage,28,5,Individual,1076,Salaried,TX,0
94065,29142,341,0.5,7,2,24,11.15,Personal,Single,1,Rented,0,92478,71354,High School,0,Mortgage,3,2,Joint,436,Self-Employed,CA,1
102798,28545,678,0.71,17,1,36,7.61,Business,Married,0,Rented,2,38022,16202,Bachelor's,0,Mortgage,29,1,Joint,1926,Salaried,NY,0
29268,36897,505,0.7,19,2,36,11.75,Personal,Widowed,0,Owned,1,15769,59888,High School,0,Own,20,8,Joint,4888,Unemployed,OH,1
106807,8167,765,0.36,31,4,60,13.75,Education,Married,1,Mortgaged,2,71038,94523,Master's,0,Own,18,9,Individual,2523,Retired,NY,0
32185,49757,579,0.25,28,2,48,4.75,Personal,Divorced,4,Mortgaged,0,45099,34492,Master's,0,Mortgage,14,2,Individual,2120,Self-Employed,NC,1
83704,31917,417,0.64,17,3,60,4.95,Education,Married,2,Rented,0,88567,82091,Master's,0,Rent,21,5,Joint,688,Self-Employed,PA,1
106779,27736,536,0.4,6,1,48,7.61,Medical,Single,3,Owned,0,82360,13701,PhD,0,Own,9,8,Individual,1636,Unemployed,OH,0
59099,32990,608,0.23,0,4,36,4.62,Medical,Divorced,2,Rented,2,97008,37444,Master's,0,Own,15,2,Joint,660,Retired,OH,0
28571,19087,755,0.73,27,0,36,7.0,Business,Widowed,4,Owned,1,60876,17685,High School,0,Rent,8,8,Individual,1456,Unemployed,OH,0
143372,27440,774,0.24,32,3,36,10.57,Medical,Divorced,4,Mortgaged,0,60738,62784,Bachelor's,0,Own,8,1,Individual,443,Salaried,IL,1
125512,40205,399,0.12,3,0,36,12.66,Business,Married,1,Rented,1,14836,16467,Master's,0,Rent,8,3,Joint,1479,Retired,NY,0
58044,20275,560,0.11,19,3,12,6.27,Home Improvement,Married,2,Owned,1,25801,55383,PhD,1,Rent,24,9,Joint,3048,Retired,OH,0
71214,10276,604,0.54,35,4,36,6.02,Education,Married,0,Mortgaged,2,45560,42131,High School,0,Own,14,2,Individual,945,Salaried,PA,0
81228,46627,653,0.56,30,4,36,12.25,Home Improvement,Married,1,Owned,2,98508,47869,High School,0,Mortgage,6,6,Individual,3753,Retired,NC,0
134752,45586,585,0.32,37,4,48,7.26,Home Improvement,Divorced,1,Mortgaged,1,32989,46894,PhD,0,Own,29,3,Individual,3557,Self-Employed,GA,1
68984,42496,627,0.32,27,3,36,12.73,Business,Divorced,3,Owned,0,23453,4828,Bachelor's,0,Mortgage,13,3,Individual,4560,Self-Employed,TX,0
60774,24008,402,0.34,2,2,36,14.92,Education,Married,1,Rented,0,27187,72215,PhD,0,Own,7,0,Individual,1370,Unemployed,OH,1
22568,10738,362,0.58,5,0,48,14.75,Business,Widowed,2,Owned,2,29334,18170,Bachelor's,0,Mortgage,27,9,Individual,597,Salaried,PA,1
140151,37402,581,0.14,22,2,36,10.78,Personal,Divorced,4,Rented,0,87939,80199,PhD,0,Rent,15,2,Joint,3015,Self-Employed,GA,0
82592,10793,740,0.75,6,2,36,7.19,Home Improvement,Single,3,Rented,1,21370,61537,High School,1,Mortgage,10,4,Joint,3166,Retired,CA,0
87563,42291,592,0.26,35,1,60,3.32,Education,Divorced,0,Rented,0,11569,53461,Master's,0,Mortgage,12,4,Individual,1720,Retired,GA,0
22695,10571,306,0.8,0,0,12,11.73,Home Improvement,Single,2,Mortgaged,2,86977,25382,Master's,0,Own,5,3,Joint,3252,Unemployed,FL,0
144375,36331,391,0.22,5,3,48,14.72,Personal,Widowed,0,Rented,1,40751,24886,Bachelor's,0,Rent,22,6,Individual,2747,Retired,NC,0
68190,21209,489,0.64,23,1,60,3.35,Personal,Single,1,Rented,1,51257,67296,High School,0,Mortgage,3,9,Individual,1221,Salaried,TX,0
25258,30394,775,0.26,36,1,24,2.58,Education,Single,2,Rented,0,78768,71027,Master's,1,Mortgage,5,9,Individual,2105,Self-Employed,PA,0
107538,48148,810,0.16,35,4,24,12.9,Education,Widowed,3,Mortgaged,0,51741,95709,PhD,0,Own,26,3,Individual,778,Unemployed,NY,0
59504,30682,761,0.71,23,3,12,3.78,Personal,Married,3,Owned,1,47275,88261,High School,0,Rent,12,6,Joint,2618,Unemployed,GA,0
53159,7224,352,0.7,37,2,24,3.52,Home Improvement,Divorced,0,Mortgaged,2,51382,67518,High School,0,Mortgage,3,5,Joint,2414,Self-Employed,OH,1
33986,46157,785,0.38,28,2,12,13.88,Medical,Widowed,4,Mortgaged,2,19309,25932,Master's,0,Own,21,5,Individual,1859,Self-Employed,PA,0
81858,49452,789,0.59,36,2,24,3.49,Home Improvement,Single,3,Owned,0,14638,65131,PhD,0,Rent,26,4,Joint,1490,Salaried,FL,0
149312,48408,663,0.49,31,4,24,3.93,Medical,Married,0,Owned,2,73639,61330,PhD,0,Mortgage,1,7,Individual,1607,Retired,NY,1
32666,37441,411,0.7,24,2,60,9.62,Business,Divorced,4,Rented,1,63123,6553,Master's,0,Mortgage,17,8,Individual,2726,Retired,MI,0
58660,46430,708,0.32,9,0,24,11.96,Education,Widowed,2,Rented,2,17629,6864,PhD,0,Mortgage,10,8,Joint,3859,Self-Employed,TX,1
23561,44129,306,0.47,34,2,12,7.49,Personal,Divorced,3,Owned,1,42520,98660,Master's,0,Mortgage,6,5,Individual,3787,Retired,TX,0
46854,39716,496,0.44,24,2,36,7.76,Business,Married,3,Owned,0,66675,11354,Bachelor's,0,Mortgage,24,4,Individual,3979,Self-Employed,IL,0
84505,49859,666,0.35,26,0,36,10.41,Home Improvement,Divorced,0,Mortgaged,2,53845,91310,Bachelor's,0,Rent,20,0,Individual,1395,Retired,MI,0
124488,31586,549,0.72,31,4,36,8.82,Medical,Married,3,Mortgaged,1,67879,10893,High School,0,Mortgage,13,2,Joint,1283,Self-Employed,CA,1
72251,49760,539,0.22,11,1,12,2.73,Education,Widowed,0,Mortgaged,0,12265,29314,Master's,0,Mortgage,15,7,Individual,2377,Retired,FL,0
42662,28478,679,0.2,3,3,12,3.92,Medical,Married,3,Owned,1,46416,21444,PhD,0,Mortgage,23,0,Joint,3785,Salaried,NC,0
28392,11318,770,0.5,25,4,36,9.77,Home Improvement,Widowed,0,Rented,2,42144,53886,PhD,0,Mortgage,21,0,Joint,4693,Unemployed,FL,0
50535,33694,754,0.56,2,2,24,12.42,Home Improvement,Married,3,Mortgaged,1,68467,46477,Master's,0,Own,2,7,Individual,3723,Retired,NY,1
98603,25180,665,0.24,16,1,36,12.04,Personal,Divorced,2,Mortgaged,0,16572,21994,High School,0,Rent,21,6,Joint,2353,Self-Employed,PA,0
133569,17180,589,0.37,8,3,48,11.75,Business,Married,2,Owned,0,75850,10968,Master's,0,Rent,28,1,Individual,298,Salaried,CA,0
72256,38002,702,0.76,28,3,12,12.14,Education,Married,0,Mortgaged,2,49001,25102,PhD,1,Rent,2,5,Individual,2469,Salaried,NC,1
109135,20372,357,0.27,0,3,48,3.06,Personal,Divorced,2,Owned,0,28870,52396,Master's,0,Mortgage,25,8,Joint,2507,Unemployed,OH,0
147478,34796,820,0.57,17,0,48,13.69,Medical,Single,0,Rented,2,31754,33132,PhD,0,Rent,17,7,Joint,557,Salaried,GA,0
55222,29427,603,0.62,19,0,12,13.62,Business,Married,0,Mortgaged,0,31739,40330,PhD,0,Mortgage,19,5,Joint,3658,Unemployed,TX,0
97373,38290,414,0.41,33,1,36,9.15,Education,Widowed,1,Mortgaged,2,78153,3331,Master's,0,Mortgage,1,1,Joint,1001,Retired,NC,1
99575,33099,509,0.76,27,2,60,5.61,Medical,Married,2,Mortgaged,0,59251,98416,Bachelor's,0,Own,5,2,Individual,3308,Retired,IL,0
143684,14821,340,0.62,34,1,48,9.9,Education,Single,1,Owned,2,68234,77518,PhD,0,Mortgage,28,2,Joint,4348,Retired,NC,0
116354,10832,472,0.42,15,2,36,9.47,Education,Widowed,1,Owned,1,39669,10714,PhD,0,Rent,20,8,Individual,4505,Self-Employed,NY,0
104651,17820,533,0.5,20,4,60,5.29,Business,Divorced,3,Rented,1,21724,53726,High School,0,Mortgage,27,8,Joint,3622,Retired,OH,0
83335,21211,702,0.58,12,3,48,10.04,Medical,Divorced,0,Owned,2,52381,46257,PhD,0,Rent,16,4,Individual,4647,Unemployed,TX,1
30965,44890,338,0.51,34,3,36,12.47,Personal,Divorced,4,Mortgaged,0,46811,74575,Master's,0,Mortgage,22,4,Individual,2415,Retired,CA,1
44538,10842,418,0.72,31,0,48,12.58,Personal,Widowed,1,Mortgaged,0,34820,93919,Bachelor's,0,Own,5,7,Individual,1001,Salaried,TX,0
128066,6316,634,0.35,37,4,36,3.25,Personal,Married,3,Owned,2,95372,84449,PhD,0,Mortgage,23,2,Joint,4397,Unemployed,MI,1
