Applicant_Income,Loan_Amount,Credit_Score,Previous_Defaults,Interest_Rate,Loan_Purpose,Number_of_Dependents,Residence_Status,Home_Ownership,Employment_Type,Default
32185,49757,579,2,4.75,Personal,4,Mortgaged,Mortgage,Self-Employed,1
83704,31917,417,3,4.95,Education,2,Rented,Rent,Self-Employed,1
106779,27736,536,1,7.61,Medical,3,Owned,Own,Unemployed,0
59099,32990,608,4,4.62,Medical,2,Rented,Own,Retired,0
28571,19087,755,0,7.0,Business,4,Owned,Rent,Unemployed,0
143372,27440,774,3,10.57,Medical,4,Mortgaged,Own,Salaried,1
125512,40205,399,0,12.66,Business,1,Rented,Rent,Retired,0
58044,20275,560,3,6.27,Home Improvement,2,Owned,Rent,Retired,0
71214,10276,604,4,6.02,Education,0,Mortgaged,Own,Salaried,0
81228,46627,653,4,12.25,Home Improvement,1,Owned,Mortgage,Retired,0
134752,45586,585,4,7.26,Home Improvement,1,Mortgaged,Own,Self-Employed,1
68984,42496,627,3,12.73,Business,3,Owned,Mortgage,Self-Employed,0
60774,24008,402,2,14.92,Education,1,Rented,Own,Unemployed,1
22568,10738,362,0,14.75,Business,2,Owned,Mortgage,Salaried,1
140151,37402,581,2,10.78,Personal,4,Rented,Rent,Self-Employed,0
82592,10793,740,2,7.19,Home Improvement,3,Rented,Mortgage,Retired,0
87563,42291,592,1,3.32,Education,0,Rented,Mortgage,Retired,0
22695,10571,306,0,11.73,Home Improvement,2,Mortgaged,Own,Unemployed,0
144375,36331,391,3,14.72,Personal,0,Rented,Rent,Retired,0
68190,21209,489,1,3.35,Personal,1,Rented,Mortgage,Salaried,0
25258,30394,775,1,2.58,Education,2,Rented,Mortgage,Self-Employed,0
107538,48148,810,4,12.9,Education,3,Mortgaged,Own,Unemployed,0
59504,30682,761,3,3.78,Personal,3,Owned,Rent,Unemployed,0
53159,7224,352,2,3.52,Home Improvement,0,Mortgaged,Mortgage,Self-Employed,1
33986,46157,785,2,13.88,Medical,4,Mortgaged,Own,Self-Employed,0
81858,49452,789,2,3.49,Home Improvement,3,Owned,Rent,Salaried,0
149312,48408,663,4,3.93,Medical,0,Owned,Mortgage,Retired,1
32666,37441,411,2,9.62,Business,4,Rented,Mortgage,Retired,0
58660,46430,708,0,11.96,Education,2,Rented,Mortgage,Self-Employed,1
23561,44129,306,2,7.49,Personal,3,Owned,Mortgage,Retired,0
46854,39716,496,2,7.76,Business,3,Owned,Mortgage,Self-Employed,0
84505,49859,666,0,10.41,Home Improvement,0,Mortgaged,Rent,Retired,0
124488,31586,549,4,8.82,Medical,3,Mortgaged,Mortgage,Self-Employed,1
72251,49760,539,1,2.73,Education,0,Mortgaged,Mortgage,Retired,0
42662,28478,679,3,3.92,Medical,3,Owned,Mortgage,Salaried,0
28392,11318,770,4,9.77,Home Improvement,0,Rented,Mortgage,Unemployed,0
50535,33694,754,2,12.42,Home Improvement,3,Mortgaged,Own,Retired,1
98603,25180,665,1,12.04,Personal,2,Mortgaged,Rent,Self-Employed,0
133569,17180,589,3,11.75,Business,2,Owned,Rent,Salaried,0
72256,38002,702,3,12.14,Education,0,Mortgaged,Rent,Salaried,1
109135,20372,357,3,3.06,Personal,2,Owned,Mortgage,Unemployed,0
147478,34796,820,0,13.69,Medical,0,Rented,Rent,Salaried,0
55222,29427,603,0,13.62,Business,0,Mortgaged,Mortgage,Unemployed,0
97373,38290,414,1,9.15,Education,1,Mortgaged,Mortgage,Retired,1
99575,33099,509,2,5.61,Medical,2,Mortgaged,Own,Retired,0
143684,14821,340,1,9.9,Education,1,Owned,Mortgage,Retired,0
116354,10832,472,2,9.47,Education,1,Owned,Rent,Self-Employed,0
104651,17820,533,4,5.29,Business,3,Rented,Mortgage,Retired,0
83335,21211,702,3,10.04,Medical,0,Owned,Rent,Unemployed,1
30965,44890,338,3,12.47,Personal,4,Mortgaged,Mortgage,Retired,1
44538,10842,418,0,12.58,Personal,1,Mortgaged,Own,Salaried,0
128066,6316,634,4,3.25,Personal,3,Owned,Mortgage,Unemployed,1
90592,22508,635,4,4.96,Education,2,Rented,Rent,Retired,0
118018,27005,838,2,10.85,Home Improvement,4,Owned,Own,Self-Employed,0
133252,20206,373,4,13.25,Business,0,Owned,Mortgage,Unemployed,0
28110,23971,490,0,9.02,Personal,3,Mortgaged,Own,Unemployed,0
99309,30599,623,2,11.34,Business,4,Mortgaged,Mortgage,Unemployed,1
47266,27056,446,1,2.76,Education,0,Mortgaged,Own,Self-Employed,0
72992,6378,583,2,10.11,Business,0,Owned,Mortgage,Retired,0
102948,6519,512,1,14.52,Personal,4,Owned,Rent,Salaried,1
142073,27161,693,2,10.76,Personal,3,Rented,Mortgage,Salaried,0
118806,45703,638,3,14.03,Education,4,Mortgaged,Rent,Self-Employed,0
26910,43861,321,1,9.58,Education,1,Rented,Mortgage,Salaried,0
130989,10355,404,0,13.04,Medical,0,Mortgaged,Mortgage,Unemployed,0
110982,14083,765,1,4.05,Education,2,Rented,Rent,Unemployed,1
141626,43342,758,1,4.04,Home Improvement,4,Mortgaged,Rent,Salaried,0
139176,25456,731,2,4.0,Home Improvement,4,Owned,Rent,Unemployed,0
20206,18324,520,3,8.61,Personal,0,Mortgaged,Rent,Self-Employed,0
107054,7257,678,2,6.63,Education,0,Rented,Mortgage,Unemployed,0
107897,32364,521,2,11.49,Home Improvement,4,Rented,Mortgage,Self-Employed,1
142409,29972,557,3,13.78,Home Improvement,2,Mortgaged,Mortgage,Retired,1
43419,31654,666,2,10.24,Medical,0,Owned,Rent,Unemployed,0
70636,20233,648,3,5.17,Education,0,Mortgaged,Mortgage,Retired,0
142546,20887,524,0,14.14,Medical,1,Owned,Mortgage,Salaried,0
134238,34320,535,3,9.1,Business,3,Mortgaged,Own,Salaried,1
70015,25808,482,4,11.5,Medical,1,Owned,Own,Unemployed,0
137478,35154,743,3,13.63,Business,2,Mortgaged,Rent,Self-Employed,0
142096,39773,305,3,14.87,Business,3,Mortgaged,Rent,Self-Employed,1
127059,32747,535,4,8.83,Education,4,Owned,Own,Self-Employed,1
74268,15860,426,3,12.6,Business,2,Owned,Mortgage,Self-Employed,1
130687,47838,403,1,9.59,Business,2,Mortgaged,Mortgage,Self-Employed,0
107939,47156,779,2,8.58,Medical,1,Rented,Rent,Self-Employed,1
38141,23156,454,2,9.22,Education,3,Owned,Mortgage,Self-Employed,1
100356,25360,556,0,8.55,Education,2,Rented,Mortgage,Salaried,0
125878,23135,534,0,7.76,Business,3,Rented,Own,Retired,0
91910,30351,799,4,11.55,Medical,4,Rented,Own,Retired,0
76044,35499,588,1,5.62,Medical,3,Rented,Rent,Salaried,0
87214,28554,809,0,10.2,Medical,1,Mortgaged,Rent,Salaried,0
137930,24604,597,2,11.41,Medical,1,Owned,Own,Salaried,1
139324,21923,436,0,13.65,Personal,2,Mortgaged,Mortgage,Unemployed,0
53827,13547,675,0,6.65,Business,3,Mortgaged,Own,Self-Employed,0
75820,49283,386,3,13.26,Business,1,Mortgaged,Own,Retired,0
82623,38002,718,0,14.32,Business,0,Mortgaged,Rent,Salaried,0
101734,19562,498,4,10.61,Education,1,Mortgaged,Mortgage,Self-Employed,0
95450,12480,762,2,12.14,Education,4,Owned,Rent,Self-Employed,1
113426,31672,736,4,7.57,Medical,0,Mortgaged,Rent,Self-Employed,0
137845,9213,609,4,14.4,Education,3,Mortgaged,Own,Self-Employed,0
42299,15293,580,1,10.89,Home Improvement,2,Mortgaged,Own,Unemployed,0
63585,39441,622,3,6.38,Business,0,Rented,Rent,Retired,0
129225,7100,451,4,7.55,Business,1,Mortgaged,Own,Self-Employed,1
84044,49617,601,1,10.22,Personal,2,Owned,Own,Salaried,0
62557,33172,577,2,5.43,Personal,2,Owned,Mortgage,Salaried,0
69080,25132,307,2,11.92,Home Improvement,2,Owned,Mortgage,Unemployed,0
129556,23199,534,1,5.31,Personal,2,Rented,Rent,Unemployed,0
22693,41609,601,4,9.9,Medical,3,Owned,Mortgage,Retired,0
115003,47965,337,4,11.21,Medical,3,Rented,Rent,Self-Employed,0
115259,13016,435,3,13.25,Business,3,Owned,Mortgage,Unemployed,0
132235,44779,720,3,11.67,Medical,1,Rented,Own,Unemployed,0
89163,42261,518,2,12.49,Personal,3,Owned,Own,Salaried,0
45939,36881,647,3,13.91,Home Improvement,2,Mortgaged,Rent,Unemployed,0
68925,22058,845,1,9.97,Medical,0,Owned,Mortgage,Salaried,1
62941,29472,378,2,13.08,Business,0,Owned,Own,Retired,0
41834,46346,572,4,5.4,Business,0,Owned,Rent,Retired,0
38047,39926,460,2,12.68,Personal,0,Mortgaged,Mortgage,Salaried,0
46105,39832,607,0,5.27,Medical,0,Rented,Own,Salaried,0
95766,41021,673,2,14.18,Personal,4,Rented,Mortgage,Retired,0
35707,29087,308,3,6.62,Business,0,Mortgaged,Rent,Self-Employed,0
41976,17828,743,1,4.65,Home Improvement,0,Mortgaged,Rent,Salaried,1
64262,36128,412,4,4.35,Medical,0,Rented,Rent,Unemployed,0
145117,6401,504,4,4.84,Home Improvement,1,Rented,Own,Retired,0
43776,24643,704,3,8.09,Medical,4,Rented,Rent,Unemployed,0
50080,20193,496,3,9.03,Business,0,Rented,Mortgage,Retired,0
148376,31853,414,3,13.92,Medical,3,Rented,Own,Salaried,1
86842,49864,420,0,7.26,Business,1,Mortgaged,Rent,Salaried,1
81373,25307,364,1,5.22,Education,4,Rented,Rent,Salaried,1
26776,41982,575,0,11.8,Business,3,Rented,Own,Salaried,0
112787,24611,538,3,4.18,Business,3,Owned,Rent,Salaried,0
147948,48791,601,1,13.65,Medical,1,Mortgaged,Mortgage,Retired,0
75016,16950,691,3,7.62,Home Improvement,3,Mortgaged,Own,Unemployed,0
29474,15704,821,1,10.17,Business,2,Rented,Mortgage,Self-Employed,0
125830,48111,668,4,4.83,Medical,1,Owned,Mortgage,Retired,0
78053,16867,532,0,4.32,Business,1,Owned,Rent,Salaried,0
41959,7745,494,3,12.49,Personal,2,Rented,Own,Salaried,0
25530,8866,311,3,7.87,Personal,1,Owned,Rent,Self-Employed,1
114856,37245,476,2,14.83,Personal,3,Rented,Mortgage,Salaried,0
139101,49724,516,4,9.05,Personal,3,Mortgaged,Rent,Unemployed,0
23748,10818,310,3,13.07,Home Improvement,3,Owned,Rent,Unemployed,0
117504,35116,745,0,14.75,Business,2,Rented,Mortgage,Self-Employed,0
118098,20493,463,4,6.01,Personal,3,Rented,Rent,Salaried,1
33545,33038,352,3,12.51,Medical,2,Rented,Mortgage,Salaried,0
147659,25447,517,0,2.78,Personal,2,Mortgaged,Own,Unemployed,0
86199,35431,659,2,11.0,Education,2,Owned,Mortgage,Unemployed,1
54766,22908,684,2,11.82,Education,1,Mortgaged,Own,Salaried,0
93530,34336,355,0,8.47,Home Improvement,4,Mortgaged,Mortgage,Salaried,0
113557,45992,417,4,4.53,Education,2,Owned,Mortgage,Salaried,0
81087,9025,552,0,10.21,Medical,3,Mortgaged,Rent,Salaried,1
115839,25093,479,0,13.72,Personal,2,Rented,Own,Salaried,0
136183,11155,714,2,14.14,Education,0,Owned,Mortgage,Unemployed,1
88840,38487,534,2,11.83,Education,1,Mortgaged,Rent,Retired,0
138451,25963,379,2,5.8,Home Improvement,3,Owned,Rent,Unemployed,0
74384,25936,321,3,13.38,Education,1,Mortgaged,Own,Unemployed,0
71005,9426,776,3,13.61,Personal,1,Rented,Rent,Retired,0
66576,28303,739,1,7.09,Business,0,Mortgaged,Rent,Unemployed,0
59353,32606,392,3,4.79,Personal,2,Owned,Mortgage,Self-Employed,0
82003,33151,491,4,13.43,Education,3,Mortgaged,Own,Unemployed,0
103211,18767,402,4,13.56,Education,4,Rented,Own,Retired,0
72733,16308,695,2,3.76,Education,1,Rented,Own,Salaried,0
85318,49245,306,0,14.59,Home Improvement,4,Rented,Own,Unemployed,0
129953,29770,530,2,9.16,Medical,4,Mortgaged,Rent,Unemployed,1
109474,33572,539,0,14.92,Personal,2,Owned,Own,Retired,1
43664,46448,389,2,8.06,Education,4,Mortgaged,Rent,Unemployed,1
87172,7204,531,2,9.17,Business,3,Mortgaged,Rent,Self-Employed,0
105616,32233,756,4,5.83,Home Improvement,2,Mortgaged,Rent,Unemployed,1
145879,26729,532,0,13.74,Medical,4,Owned,Rent,Unemployed,0
113264,36131,653,1,8.05,Education,2,Rented,Own,Salaried,0
135386,38870,632,1,12.68,Personal,3,Rented,Rent,Salaried,1
46736,43011,738,2,3.5,Business,1,Rented,Mortgage,Retired,0
114209,44382,674,2,12.35,Home Improvement,0,Owned,Mortgage,Salaried,0
123041,46475,591,4,8.63,Personal,2,Mortgaged,Mortgage,Salaried,1
132859,26607,644,0,2.57,Personal,0,Mortgaged,Mortgage,Self-Employed,0
132181,29968,727,2,5.33,Home Improvement,1,Mortgaged,Rent,Unemployed,0
20854,38398,429,1,4.92,Personal,3,Owned,Mortgage,Self-Employed,0
110084,16908,440,0,11.9,Business,1,Mortgaged,Mortgage,Unemployed,0
58623,31423,714,2,8.47,Business,0,Owned,Rent,Salaried,1
27392,48615,392,0,4.5,Personal,3,Rented,Own,Unemployed,0
75680,14171,583,4,5.71,Education,4,Rented,Own,Unemployed,1
146354,17721,522,1,8.8,Personal,4,Owned,Own,Unemployed,0
66717,21616,762,0,2.75,Education,2,Rented,Own,Self-Employed,1
139937,47512,844,1,7.8,Personal,4,Owned,Rent,Salaried,1
107092,43458,575,2,10.98,Medical,0,Mortgaged,Rent,Retired,0
70859,12659,439,3,8.97,Business,4,Rented,Own,Salaried,0
145657,48369,656,0,9.98,Personal,2,Rented,Mortgage,Self-Employed,1
124095,16704,322,1,6.58,Business,3,Mortgaged,Rent,Self-Employed,0
46309,37793,569,0,4.79,Home Improvement,4,Mortgaged,Mortgage,Self-Employed,1
107455,36226,632,2,12.62,Medical,2,Owned,Mortgage,Retired,0
83734,28852,384,2,13.82,Education,4,Rented,Mortgage,Retired,0
90467,37082,330,1,8.88,Home Improvement,4,Mortgaged,Own,Retired,0
72662,27794,539,4,6.31,Medical,0,Rented,Own,Salaried,0
118506,46420,662,0,8.89,Home Improvement,2,Rented,Own,Salaried,0
129751,18379,688,0,13.49,Business,2,Rented,Mortgage,Salaried,0
138906,12006,598,2,11.14,Medical,1,Rented,Mortgage,Self-Employed,1
32688,13682,670,0,13.23,Home Improvement,1,Owned,Rent,Retired,0
45342,38840,398,1,6.6,Education,2,Mortgaged,Rent,Retired,0
57157,37430,346,3,11.4,Medical,0,Rented,Own,Self-Employed,0
87863,28091,721,2,10.66,Medical,4,Mortgaged,Rent,Salaried,1
126308,37983,779,3,9.65,Home Improvement,3,Mortgaged,Mortgage,Unemployed,1
72083,28989,361,0,9.1,Personal,4,Owned,Mortgage,Unemployed,0
126081,14915,408,4,9.39,Education,3,Owned,Mortgage,Salaried,1
85733,47552,848,1,13.12,Education,0,Rented,Own,Retired,1
109045,23990,418,0,13.95,Home Improvement,1,Rented,Rent,Unemployed,0
54698,29734,681,1,3.91,Business,2,Owned,Mortgage,Self-Employed,1
130078,19824,691,0,9.61,Business,0,Mortgaged,Own,Retired,0
100623,41081,351,0,13.98,Personal,3,Mortgaged,Own,Salaried,0
42671,16033,588,0,4.18,Personal,2,Owned,Rent,Self-Employed,1
45184,47736,636,2,7.66,Home Improvement,3,Rented,Mortgage,Unemployed,0
113384,21241,503,3,3.61,Business,4,Rented,Own,Salaried,0
62107,10939,537,4,3.92,Education,4,Rented,Own,Retired,0
106202,40063,681,3,13.8,Business,4,Owned,Mortgage,Unemployed,1
129893,39464,435,3,8.08,Home Improvement,2,Owned,Own,Self-Employed,0
71663,16185,706,1,11.11,Business,1,Mortgaged,Own,Salaried,0
35708,32045,807,2,4.24,Medical,1,Owned,Rent,Retired,0
111906,49769,661,2,2.77,Home Improvement,3,Rented,Rent,Self-Employed,1
69811,24167,680,0,13.63,Medical,1,Mortgaged,Rent,Self-Employed,0
22811,41412,553,3,9.68,Home Improvement,1,Rented,Rent,Self-Employed,0
76250,26625,776,4,2.75,Education,3,Rented,Rent,Self-Employed,0
132547,44188,413,1,14.9,Home Improvement,3,Mortgaged,Mortgage,Salaried,0
92082,32076,319,2,8.65,Home Improvement,3,Rented,Own,Unemployed,0
144249,49605,827,0,8.45,Home Improvement,2,Mortgaged,Mortgage,Retired,1
54754,24029,444,4,10.26,Home Improvement,3,Rented,Mortgage,Retired,0
115742,27973,507,3,2.6,Personal,2,Rented,Rent,Unemployed,0
126642,44121,830,4,9.61,Medical,2,Mortgaged,Mortgage,Self-Employed,1
31411,36433,675,2,10.37,Home Improvement,2,Rented,Own,Self-Employed,0
22911,48309,803,1,6.21,Home Improvement,3,Rented,Mortgage,Self-Employed,0
87270,6932,465,3,11.59,Personal,1,Mortgaged,Mortgage,Retired,0
103763,49254,849,1,7.22,Business,1,Mortgaged,Rent,Unemployed,1
28680,6757,480,4,11.47,Personal,3,Mortgaged,Mortgage,Salaried,1
104896,35722,743,4,4.3,Personal,1,Owned,Mortgage,Unemployed,1
103879,42853,631,0,13.92,Personal,3,Rented,Rent,Unemployed,0
91295,43405,802,3,13.49,Home Improvement,2,Mortgaged,Own,Self-Employed,0
108614,6116,378,4,4.38,Personal,4,Rented,Rent,Self-Employed,0
120689,48527,695,2,14.23,Personal,0,Mortgaged,Rent,Retired,1
31111,16691,402,2,9.47,Personal,3,Rented,Mortgage,Salaried,1
57504,5492,701,1,11.27,Home Improvement,2,Rented,Rent,Self-Employed,1
21802,32882,523,2,13.0,Education,4,Mortgaged,Rent,Retired,1
28155,13811,817,4,3.54,Education,2,Mortgaged,Own,Retired,1
93656,32808,535,2,4.62,Business,0,Owned,Mortgage,Retired,0
59384,29272,726,3,6.13,Home Improvement,1,Mortgaged,Own,Retired,1
132561,33399,415,1,8.47,Personal,1,Mortgaged,Own,Retired,0
67254,11474,462,3,6.83,Personal,2,Mortgaged,Rent,Self-Employed,0
41918,31956,525,4,8.82,Personal,0,Owned,Own,Self-Employed,0
105981,47506,529,4,4.82,Education,2,Rented,Own,Unemployed,0
80713,18979,481,2,11.03,Personal,1,Owned,Rent,Salaried,0
50306,49523,548,0,3.2,Personal,2,Rented,Rent,Retired,0
36646,47565,617,0,7.02,Education,4,Mortgaged,Mortgage,Salaried,0
66843,33328,509,4,4.74,Personal,0,Mortgaged,Rent,Retired,0
140975,17867,691,4,11.62,Business,1,Mortgaged,Rent,Unemployed,0
116601,30851,395,1,13.55,Medical,2,Owned,Rent,Retired,1
110735,36279,385,4,3.48,Business,0,Owned,Mortgage,Retired,1
127512,35527,714,4,12.31,Home Improvement,2,Mortgaged,Own,Unemployed,0
