Applicant_Income,Loan_Amount,Credit_Score,Debt_to_Income_Ratio,Employment_History,Previous_Defaults,Loan_Term,Interest_Rate,Loan_Purpose,Marital_Status,Number_of_Dependents,Residence_Status,Bankruptcies,Annual_Expenses,Co-Applicant_Income,Education_Level,Self_Employed,Home_Ownership,Credit_History_Length,Missed_Payments,Loan_Application_Type,Monthly_Installment,Employment_Type,State,Default
150064,55701,560,0.26,3,4,24,3.09,Home Improvement,Divorced,3,Rented,1,59332,86560,Master's,0,Own,31,9,Individual,302,Self-Employed,MI,1
78619,47830,300,0.29,3,4,36,15.93,Personal,Divorced,0,Owned,2,43491,51536,High School,0,Rent,34,9,Joint,3377,Retired,PA,0
109851,54290,404,0.82,23,0,12,4.31,Business,Married,3,Mortgaged,3,107069,86065,High School,0,Own,33,1,Individual,5921,Retired,PA,0
43491,13333,743,0.22,26,4,60,12.47,Home Improvement,Divorced,4,Mortgaged,0,23511,49908,Bachelor's,0,Own,25,1,Individual,4897,Unemployed,PA,1
53488,43717,768,0.34,17,0,60,4.75,Personal,Divorced,3,Mortgaged,3,58363,21011,High School,1,Rent,11,4,Individual,5855,Salaried,CA,0
142011,43949,531,0.36,1,2,36,15.02,Business,Single,0,Mortgaged,0,36712,100390,High School,0,Mortgage,6,8,Joint,5788,Unemployed,CA,0
40436,11278,435,0.25,35,5,72,12.52,Education,Widowed,5,Mortgaged,0,15199,65949,Bachelor's,0,Rent,29,3,Joint,1275,Salaried,TX,0
99071,36488,796,0.76,14,5,72,11.84,Education,Widowed,0,Mortgaged,0,108798,69480,Master's,0,Mortgage,33,3,Joint,4094,Retired,FL,0
122152,8015,607,0.5,30,4,36,4.07,Education,Divorced,4,Mortgaged,0,89671,40402,Master's,0,Mortgage,4,1,Joint,4749,Self-Employed,NY,0
113169,18778,506,0.24,25,2,36,4.23,Business,Married,4,Mortgaged,3,38977,91340,PhD,1,Mortgage,15,0,Joint,4546,Self-Employed,NY,1
102257,46370,425,0.71,28,2,48,9.21,Business,Widowed,5,Mortgaged,0,108848,18296,High School,0,Mortgage,19,6,Joint,5225,Unemployed,CA,0
96919,19103,576,0.81,21,0,60,11.65,Medical,Widowed,5,Mortgaged,0,117913,35338,PhD,0,Rent,7,2,Individual,4837,Salaried,FL,1
159820,47869,579,0.65,22,0,12,4.25,Medical,Widowed,4,Rented,2,18290,18829,PhD,0,Own,33,5,Individual,4880,Salaried,PA,0
142859,37282,604,0.36,14,5,12,6.61,Business,Widowed,3,Owned,3,57236,33391,Bachelor's,0,Mortgage,17,9,Individual,1695,Salaried,MI,0
97199,25004,827,0.35,28,1,36,11.94,Business,Single,5,Mortgaged,2,69813,26440,PhD,0,Rent,22,10,Joint,1991,Unemployed,TX,0
75058,6285,356,0.49,43,3,72,14.9,Medical,Single,2,Mortgaged,3,20109,89040,Bachelor's,0,Mortgage,29,10,Joint,3950,Salaried,TX,0
156508,40173,348,0.71,29,1,24,8.9,Education,Widowed,5,Mortgaged,0,118284,49981,PhD,0,Mortgage,14,5,Joint,5137,Unemployed,NC,0
38752,29881,361,0.72,33,3,48,2.49,Home Improvement,Married,5,Owned,0,69482,86081,PhD,0,Rent,1,8,Joint,3325,Unemployed,PA,0
53263,18816,657,0.69,43,4,12,11.01,Home Improvement,Divorced,2,Owned,1,54707,29405,Master's,0,Own,6,1,Joint,445,Salaried,NC,0
40654,26573,362,0.13,2,2,72,9.68,Business,Widowed,5,Mortgaged,1,22525,98151,Master's,0,Mortgage,16,1,Joint,497,Self-Employed,CA,1
159473,27936,372,0.51,22,2,48,8.29,Business,Single,4,Rented,1,20291,80370,PhD,0,Mortgage,2,4,Joint,3699,Self-Employed,GA,1
75503,10092,524,0.41,14,0,72,8.43,Home Improvement,Single,4,Rented,1,30263,28530,Bachelor's,1,Mortgage,21,0,Individual,3055,Salaried,MI,0
77111,48986,774,0.22,18,1,60,7.48,Home Improvement,Divorced,1,Rented,0,69577,83358,High School,1,Mortgage,27,4,Individual,2277,Unemployed,TX,1
40660,21985,419,0.79,31,1,24,9.98,Business,Divorced,0,Mortgaged,0,24239,17386,Bachelor's,0,Own,14,0,Joint,1220,Retired,GA,1
95796,10748,697,0.54,10,1,48,6.92,Personal,Divorced,5,Owned,0,75403,76353,High School,1,Own,22,9,Joint,3072,Retired,NC,0
87200,11242,676,0.49,22,2,60,12.26,Business,Single,4,Owned,1,68483,42317,Bachelor's,0,Mortgage,9,0,Joint,3657,Retired,IL,1
98693,49136,720,0.7,35,1,72,5.18,Medical,Married,3,Owned,2,96175,71937,Master's,0,Own,14,8,Individual,5659,Retired,NY,0
38976,11941,583,0.85,1,3,60,8.66,Medical,Married,3,Owned,0,89040,65103,PhD,0,Mortgage,6,4,Joint,2787,Salaried,TX,0
154916,46434,536,0.33,14,4,72,5.57,Education,Married,3,Mortgaged,0,71436,75367,Bachelor's,0,Rent,3,6,Joint,1929,Retired,IL,0
159847,35376,476,0.3,10,0,36,6.75,Medical,Single,4,Mortgaged,2,104567,90085,Master's,0,Rent,26,0,Individual,3741,Unemployed,OH,1
109466,12059,427,0.62,16,3,72,13.4,Personal,Divorced,5,Mortgaged,2,39916,49411,Master's,0,Rent,18,7,Joint,2934,Unemployed,MI,0
86859,10548,795,0.13,5,5,60,3.78,Personal,Widowed,3,Rented,0,83879,65650,PhD,0,Rent,24,10,Individual,4904,Self-Employed,MI,0
31686,47673,524,0.18,28,3,72,15.17,Home Improvement,Single,1,Owned,0,105578,3054,Master's,0,Rent,12,3,Joint,1963,Self-Employed,NC,0
37787,26166,545,0.57,43,0,48,15.94,Personal,Divorced,5,Rented,1,93548,90210,PhD,1,Mortgage,2,10,Joint,488,Salaried,PA,0
51556,10212,498,0.52,38,1,60,7.18,Education,Married,2,Owned,1,32165,12472,High School,1,Mortgage,13,7,Individual,708,Salaried,IL,1
38927,12657,631,0.38,43,2,12,12.33,Business,Single,4,Rented,2,111773,14999,PhD,0,Own,25,8,Joint,1637,Retired,MI,0
77123,54681,482,0.32,31,3,24,11.75,Business,Single,5,Owned,3,24496,3219,Bachelor's,0,Own,7,1,Joint,3248,Self-Employed,CA,1
94384,19479,415,0.24,29,5,72,9.44,Medical,Married,2,Owned,2,28483,12092,PhD,1,Own,17,3,Joint,3101,Self-Employed,NC,1
108798,33464,408,0.21,21,0,48,7.51,Education,Single,3,Rented,0,115536,10872,High School,0,Mortgage,34,3,Joint,1909,Salaried,MI,0
133922,37931,565,0.41,27,1,12,13.64,Home Improvement,Single,0,Owned,3,92471,97697,Bachelor's,0,Own,11,4,Individual,150,Retired,IL,0
83867,58395,747,0.29,14,5,24,11.78,Home Improvement,Single,5,Rented,2,39133,31193,Bachelor's,0,Own,3,9,Joint,2878,Salaried,IL,0
37119,42498,440,0.29,14,4,60,3.1,Business,Married,5,Owned,3,30974,106015,High School,0,Rent,31,2,Joint,680,Salaried,TX,0
36950,52365,387,0.29,6,0,60,11.34,Home Improvement,Married,0,Rented,0,104229,27048,High School,1,Rent,8,5,Joint,1554,Self-Employed,TX,0
27998,15808,606,0.73,24,1,60,12.44,Education,Married,4,Mortgaged,1,73340,29135,PhD,0,Rent,21,5,Individual,2994,Unemployed,MI,0
71217,26367,443,0.27,23,0,72,12.89,Home Improvement,Widowed,2,Mortgaged,3,79159,107646,High School,0,Own,20,6,Individual,3156,Unemployed,OH,0
66981,50405,698,0.11,41,5,24,12.2,Personal,Divorced,4,Rented,1,63752,20027,PhD,1,Mortgage,26,2,Individual,365,Salaried,TX,0
73514,54232,661,0.28,0,5,24,12.82,Business,Single,3,Owned,1,55353,37781,Bachelor's,1,Own,15,4,Joint,2929,Salaried,GA,0
67386,38909,846,0.66,20,4,72,11.06,Medical,Divorced,4,Owned,2,49190,2058,PhD,0,Own,23,10,Individual,3484,Retired,MI,0
74391,57500,526,0.15,35,3,48,5.09,Education,Widowed,4,Mortgaged,1,61987,108514,Bachelor's,0,Mortgage,2,3,Joint,5673,Salaried,FL,0
64004,41562,661,0.33,17,4,12,5.64,Personal,Divorced,2,Rented,1,88306,108022,High School,0,Own,26,5,Individual,5654,Retired,IL,1
25907,27158,339,0.44,1,4,24,12.65,Medical,Single,1,Mortgaged,0,47469,85678,Bachelor's,0,Rent,3,10,Individual,5860,Retired,FL,1
80803,40884,794,0.44,7,2,72,12.79,Business,Married,0,Mortgaged,0,76758,47930,Bachelor's,0,Own,26,8,Joint,480,Salaried,PA,0
87942,52019,767,0.52,2,4,24,10.41,Personal,Married,2,Mortgaged,0,65944,59200,Master's,0,Mortgage,30,8,Joint,5773,Unemployed,OH,0
127403,16951,328,0.12,22,5,48,11.64,Personal,Married,3,Mortgaged,3,74076,99675,PhD,0,Rent,15,1,Joint,3273,Retired,IL,1
102326,6632,512,0.5,38,1,60,13.62,Home Improvement,Married,4,Mortgaged,1,87928,102539,High School,1,Rent,31,9,Individual,4416,Retired,MI,0
153250,46526,734,0.81,21,3,60,3.17,Personal,Married,1,Rented,3,82799,80715,Bachelor's,0,Own,5,1,Individual,5900,Retired,GA,0
115044,36027,670,0.66,1,5,24,10.42,Business,Divorced,5,Mortgaged,3,19673,18006,PhD,0,Mortgage,24,2,Individual,2741,Retired,IL,0
121453,52346,768,0.53,4,1,72,3.64,Home Improvement,Divorced,0,Rented,2,63093,81485,PhD,1,Mortgage,4,1,Joint,5517,Unemployed,OH,1
123936,38508,421,0.63,12,0,48,3.57,Personal,Divorced,2,Mortgaged,3,26508,61206,Bachelor's,0,Mortgage,5,0,Joint,2333,Retired,GA,0
99675,49318,762,0.11,42,0,48,11.51,Education,Single,1,Owned,2,71295,20210,PhD,1,Rent,18,9,Joint,5596,Self-Employed,OH,0
129710,16927,386,0.31,19,2,24,12.56,Personal,Divorced,0,Mortgaged,0,77246,17649,PhD,0,Own,23,9,Individual,641,Retired,OH,0
29056,15163,793,0.43,37,4,24,2.47,Business,Single,1,Owned,1,109186,19755,Bachelor's,1,Rent,5,8,Individual,5900,Salaried,FL,0
87567,30220,528,0.21,9,3,12,13.39,Home Improvement,Divorced,2,Mortgaged,3,23904,64583,High School,0,Mortgage,14,10,Individual,460,Self-Employed,IL,1
74147,11736,436,0.56,30,0,36,8.14,Education,Married,1,Owned,0,89736,85366,PhD,1,Own,28,10,Individual,2206,Unemployed,MI,0
129677,15206,473,0.44,13,2,72,12.14,Medical,Single,5,Owned,3,59456,35428,PhD,1,Own,11,2,Joint,4082,Salaried,CA,0
118550,28575,615,0.58,10,4,24,10.36,Home Improvement,Married,5,Owned,3,72944,839,Bachelor's,0,Mortgage,7,6,Joint,2205,Salaried,CA,1
68079,22005,304,0.33,26,1,60,6.76,Medical,Widowed,4,Rented,3,16807,11068,High School,0,Mortgage,27,7,Joint,4562,Salaried,OH,0
131853,41900,424,0.28,26,5,12,11.31,Business,Single,0,Mortgaged,0,56148,11015,High School,0,Own,20,11,Joint,4916,Self-Employed,PA,1
92235,53781,382,0.75,37,3,48,3.71,Personal,Single,5,Mortgaged,1,74934,89726,Bachelor's,0,Rent,14,11,Individual,4063,Unemployed,IL,0
61047,32348,642,0.19,16,3,48,11.42,Medical,Single,4,Mortgaged,0,27259,60329,Master's,0,Mortgage,25,2,Joint,822,Self-Employed,PA,1
158346,29859,402,0.31,22,0,60,14.38,Business,Single,0,Mortgaged,3,22035,22058,Master's,0,Mortgage,15,1,Individual,1518,Self-Employed,MI,0
100213,16515,582,0.26,26,2,24,2.45,Personal,Single,3,Owned,2,59829,5180,PhD,0,Rent,24,4,Individual,5369,Retired,MI,1
78294,16773,557,0.3,26,3,36,3.47,Education,Divorced,0,Mortgaged,1,112127,14074,Bachelor's,0,Mortgage,2,9,Individual,676,Salaried,CA,0
116694,32963,740,0.11,38,2,24,9.65,Home Improvement,Divorced,2,Owned,3,60611,7584,PhD,0,Rent,26,7,Individual,3622,Salaried,GA,0
121764,37110,581,0.51,10,5,24,4.68,Business,Married,1,Owned,1,23406,94175,High School,0,Mortgage,23,11,Joint,3848,Retired,OH,0
54469,30791,378,0.32,21,5,36,7.2,Education,Divorced,5,Owned,0,15079,70050,PhD,1,Own,29,1,Individual,2625,Self-Employed,IL,1
62242,7196,713,0.59,2,2,24,9.32,Home Improvement,Divorced,2,Owned,3,33369,28061,Bachelor's,1,Own,2,11,Joint,870,Salaried,GA,1
45945,56123,759,0.65,8,4,12,8.4,Medical,Divorced,5,Owned,2,34835,101935,PhD,0,Rent,2,6,Joint,3079,Unemployed,TX,0
68543,22999,663,0.77,0,2,12,9.23,Home Improvement,Widowed,5,Owned,3,83779,42645,High School,0,Rent,24,10,Joint,450,Unemployed,MI,0
138899,21503,821,0.19,24,3,48,13.24,Medical,Divorced,3,Owned,0,99475,96191,High School,0,Own,19,10,Individual,5442,Self-Employed,PA,0
134951,17943,407,0.21,5,4,48,7.07,Education,Widowed,3,Rented,2,74842,79971,Bachelor's,0,Mortgage,27,3,Joint,2680,Retired,CA,0
108038,35976,739,0.65,8,4,48,3.44,Business,Single,3,Owned,3,110781,32063,Master's,0,Rent,20,8,Joint,4706,Unemployed,GA,0
150284,28621,541,0.7,17,4,60,14.11,Education,Divorced,5,Rented,2,111727,7060,Bachelor's,0,Mortgage,7,5,Individual,701,Unemployed,PA,1
64451,9720,340,0.59,3,2,72,7.52,Home Improvement,Single,2,Rented,2,81559,78822,Bachelor's,1,Rent,6,0,Individual,3697,Unemployed,NY,0
82291,14787,426,0.7,40,4,60,13.07,Personal,Married,1,Owned,0,74501,33543,High School,0,Own,9,2,Individual,4686,Unemployed,NY,0
77182,36101,539,0.13,11,2,48,14.78,Home Improvement,Single,2,Owned,3,92681,75797,Master's,0,Mortgage,11,3,Individual,3687,Retired,NC,0
27265,32020,354,0.61,15,3,72,14.08,Business,Married,0,Owned,0,34084,79299,PhD,0,Own,34,3,Joint,859,Self-Employed,OH,0
78330,31196,370,0.12,5,0,48,4.88,Medical,Widowed,1,Rented,1,69383,103185,Master's,0,Own,27,3,Individual,5066,Unemployed,GA,0
134133,40363,655,0.21,15,1,36,14.68,Home Improvement,Married,2,Rented,1,16210,94168,Bachelor's,0,Rent,8,9,Individual,1173,Salaried,NC,0
136974,37955,324,0.13,32,4,48,10.33,Education,Widowed,5,Rented,2,56559,91254,High School,0,Rent,27,8,Individual,1543,Retired,IL,1
80992,40071,564,0.42,36,0,48,7.6,Personal,Widowed,4,Rented,3,108508,85833,PhD,1,Rent,5,3,Joint,2500,Unemployed,NY,1
29750,51345,821,0.55,3,2,24,13.68,Home Improvement,Widowed,3,Rented,0,106393,44678,Bachelor's,0,Own,10,6,Joint,1941,Retired,GA,0
77607,44889,743,0.55,12,1,60,4.79,Personal,Widowed,3,Owned,3,43298,85270,Bachelor's,0,Own,14,8,Joint,5208,Salaried,IL,0
140249,28178,611,0.24,14,3,72,10.17,Business,Single,0,Mortgaged,1,94478,86200,Master's,0,Mortgage,23,11,Individual,5063,Salaried,PA,0
27100,36740,666,0.14,12,5,36,14.16,Medical,Single,1,Mortgaged,2,117461,20118,High School,0,Own,2,11,Joint,3503,Unemployed,PA,0
159541,56181,477,0.35,3,3,12,9.96,Education,Divorced,2,Owned,1,105299,26649,PhD,0,Rent,8,7,Joint,3063,Salaried,IL,0
47449,12069,825,0.15,4,5,24,7.95,Home Improvement,Single,5,Rented,0,67074,53152,High School,1,Own,21,9,Individual,5233,Unemployed,IL,0
154304,26981,497,0.68,24,2,36,11.14,Home Improvement,Married,3,Mortgaged,2,105591,1809,Master's,0,Rent,28,8,Individual,1659,Self-Employed,NY,0
144744,12945,847,0.28,27,4,48,6.02,Education,Widowed,2,Mortgaged,0,22603,27319,PhD,0,Own,33,11,Individual,4849,Retired,MI,0
133212,35469,512,0.71,13,2,36,6.78,Medical,Widowed,2,Rented,2,63947,89406,Bachelor's,1,Mortgage,28,7,Individual,1484,Unemployed,MI,0
100037,27992,725,0.38,14,2,36,11.96,Business,Widowed,4,Mortgaged,3,15476,75213,PhD,0,Rent,19,3,Individual,5743,Self-Employed,GA,1
132105,43534,739,0.51,21,0,72,14.42,Business,Divorced,2,Owned,2,119610,18950,Bachelor's,0,Mortgage,16,0,Individual,5719,Retired,PA,0
92480,11200,650,0.3,32,4,72,7.62,Personal,Single,1,Rented,1,104945,83391,Bachelor's,0,Own,14,11,Individual,3953,Unemployed,OH,0
48177,15493,506,0.64,8,5,48,12.73,Education,Married,4,Mortgaged,0,119262,90632,Bachelor's,0,Own,17,0,Individual,2233,Unemployed,TX,0
54821,14751,707,0.67,12,5,24,5.19,Personal,Widowed,0,Mortgaged,0,87419,77329,High School,1,Rent,20,6,Individual,2353,Salaried,MI,0
133611,20431,539,0.3,15,3,48,15.73,Business,Widowed,1,Owned,2,38481,72087,PhD,0,Rent,21,3,Joint,2709,Retired,IL,0
127479,45670,753,0.7,8,2,48,13.39,Home Improvement,Married,3,Mortgaged,3,16449,30192,Master's,0,Own,15,8,Joint,230,Self-Employed,GA,0
94316,36011,609,0.18,32,3,24,12.51,Business,Divorced,1,Owned,0,77572,24885,Bachelor's,1,Rent,1,6,Joint,4558,Salaried,PA,0
68492,25978,799,0.76,30,1,72,9.49,Business,Married,4,Owned,3,59571,52824,PhD,0,Mortgage,10,5,Joint,4501,Salaried,CA,1
83780,46065,588,0.12,11,1,12,12.8,Home Improvement,Single,3,Owned,3,36147,38204,Master's,0,Rent,22,1,Joint,3718,Retired,GA,0
159231,30525,819,0.48,35,5,12,14.67,Home Improvement,Divorced,2,Rented,3,71533,5022,PhD,0,Mortgage,34,1,Individual,4411,Retired,MI,1
148956,20879,487,0.73,24,4,72,12.73,Medical,Widowed,2,Rented,0,115526,72445,Bachelor's,0,Mortgage,7,6,Joint,4428,Unemployed,OH,1
25144,40067,309,0.1,14,5,24,15.14,Personal,Single,1,Owned,3,19961,42566,Master's,0,Own,25,8,Individual,1687,Self-Employed,PA,1
115302,16768,645,0.58,13,0,48,13.73,Business,Single,5,Mortgaged,2,113956,44994,PhD,0,Rent,12,7,Individual,488,Self-Employed,IL,0
80392,36903,764,0.2,14,0,36,11.87,Education,Married,4,Rented,2,99180,19702,PhD,0,Own,16,5,Joint,1626,Salaried,GA,1
72339,39813,724,0.75,20,0,36,13.84,Medical,Single,4,Owned,2,99336,88643,High School,1,Own,33,0,Individual,5187,Unemployed,IL,1
95642,22537,394,0.35,23,3,24,2.03,Personal,Widowed,5,Owned,1,49975,78478,PhD,1,Mortgage,1,7,Individual,4753,Self-Employed,NC,0
89493,31644,674,0.18,1,5,24,12.22,Medical,Divorced,5,Mortgaged,2,38657,42003,PhD,0,Mortgage,34,10,Individual,5065,Retired,CA,0
119871,33712,422,0.5,6,0,24,8.32,Medical,Widowed,1,Owned,2,92990,89159,High School,0,Own,7,2,Joint,3016,Self-Employed,GA,1
151422,58548,541,0.56,36,0,24,12.99,Home Improvement,Married,4,Owned,1,55325,88773,Master's,0,Own,33,4,Individual,5889,Self-Employed,NC,1
155074,15618,455,0.46,12,4,12,5.7,Education,Single,1,Rented,3,48941,56865,PhD,0,Rent,6,10,Individual,228,Self-Employed,CA,0
96912,58200,560,0.75,27,0,12,13.93,Medical,Married,1,Owned,2,55189,99399,High School,0,Rent,25,3,Joint,3880,Retired,NC,1
55681,46533,313,0.83,24,0,60,3.31,Personal,Widowed,2,Mortgaged,3,46740,103491,Bachelor's,0,Rent,27,2,Individual,4764,Retired,PA,0
41130,48444,644,0.81,10,1,36,4.64,Personal,Widowed,5,Owned,0,88857,50508,Master's,0,Rent,32,8,Individual,3979,Salaried,CA,0
152568,45245,720,0.5,28,2,72,15.69,Personal,Divorced,1,Mortgaged,2,99213,59203,High School,0,Rent,26,9,Individual,1397,Unemployed,MI,0
25591,25240,328,0.19,18,0,36,14.15,Home Improvement,Divorced,2,Rented,0,17217,83589,High School,0,Rent,31,8,Individual,3646,Retired,PA,0
84897,48808,629,0.14,5,3,12,10.23,Education,Married,3,Mortgaged,0,85980,69113,Master's,0,Own,30,7,Joint,3379,Self-Employed,OH,0
59653,23337,804,0.23,20,3,24,7.77,Business,Single,5,Owned,2,78138,40164,High School,1,Mortgage,17,0,Individual,1970,Salaried,NC,1
67361,51074,630,0.63,10,3,48,8.64,Education,Single,2,Rented,0,57013,63706,Bachelor's,0,Rent,11,8,Joint,1967,Salaried,GA,0
90392,16893,674,0.43,10,1,12,2.34,Home Improvement,Single,1,Mortgaged,2,19194,56943,PhD,0,Own,3,9,Individual,1173,Unemployed,GA,1
70977,10006,565,0.35,19,2,12,15.76,Personal,Widowed,3,Owned,0,51053,90563,Bachelor's,0,Mortgage,1,6,Joint,4937,Unemployed,IL,0
141846,34861,414,0.29,18,5,36,2.91,Personal,Single,2,Owned,1,40162,100957,Bachelor's,1,Own,13,2,Joint,4752,Self-Employed,FL,0
73054,53053,539,0.33,37,5,48,4.4,Medical,Divorced,2,Owned,0,13901,53786,High School,0,Own,23,3,Individual,5340,Unemployed,PA,0
77731,28313,539,0.82,10,3,60,11.66,Home Improvement,Widowed,1,Rented,2,69131,66321,Master's,0,Rent,25,2,Individual,4140,Salaried,NC,0
108912,38167,540,0.63,11,1,60,7.53,Personal,Widowed,5,Mortgaged,1,80343,24205,PhD,0,Rent,1,5,Individual,765,Self-Employed,OH,1
33551,46435,445,0.23,6,3,48,6.63,Personal,Single,4,Mortgaged,0,68139,73521,High School,0,Own,21,4,Joint,1977,Retired,NY,0
147471,56264,495,0.3,29,3,36,8.56,Personal,Married,0,Mortgaged,1,98599,21899,PhD,0,Mortgage,22,0,Individual,4634,Unemployed,MI,0
101660,40397,650,0.19,27,1,60,3.15,Home Improvement,Single,2,Mortgaged,2,101761,50707,PhD,0,Own,28,6,Joint,485,Retired,MI,0
53835,44245,407,0.24,41,2,24,14.06,Personal,Single,0,Mortgaged,3,35325,35512,High School,1,Mortgage,27,7,Joint,181,Unemployed,CA,0
141249,26190,559,0.31,21,2,72,3.61,Business,Married,4,Mortgaged,0,12068,5152,Master's,0,Rent,4,0,Individual,589,Salaried,MI,0
106995,19981,385,0.6,27,2,60,12.21,Business,Single,1,Rented,1,42311,22762,High School,1,Own,22,2,Individual,1581,Retired,FL,0
129904,42792,622,0.69,30,1,48,14.82,Education,Single,2,Owned,1,18054,5739,Master's,0,Mortgage,30,9,Individual,4105,Salaried,IL,0
134435,8599,748,0.37,0,0,36,10.91,Business,Widowed,5,Rented,3,95635,31043,Master's,0,Own,24,6,Joint,4607,Self-Employed,OH,0
159962,53499,803,0.58,25,1,60,8.69,Home Improvement,Widowed,1,Owned,1,25564,69887,PhD,0,Own,1,5,Individual,4291,Self-Employed,PA,0
71831,48117,365,0.78,26,4,48,14.79,Education,Married,2,Rented,1,56886,17326,Bachelor's,0,Rent,23,1,Individual,5601,Retired,MI,1
101134,12382,681,0.26,36,5,60,13.51,Medical,Single,1,Rented,2,86002,12630,PhD,1,Rent,25,2,Joint,1469,Retired,NY,0
155538,33601,690,0.62,29,1,72,4.83,Business,Widowed,5,Owned,3,67860,67368,High School,0,Rent,20,8,Joint,1782,Salaried,IL,1
150474,59643,402,0.47,10,3,48,9.7,Education,Divorced,3,Mortgaged,3,65397,72442,High School,0,Mortgage,12,9,Individual,395,Self-Employed,CA,1
28621,43185,605,0.6,36,2,60,2.42,Education,Single,3,Mortgaged,2,84186,12418,Bachelor's,0,Own,7,8,Individual,2843,Retired,NY,0
87905,20882,603,0.65,42,2,24,2.81,Business,Single,3,Rented,1,110022,28849,High School,0,Mortgage,25,9,Joint,4701,Salaried,TX,0
63947,24981,806,0.21,44,5,24,4.4,Personal,Married,0,Owned,2,55493,102842,Master's,0,Own,7,10,Individual,4332,Retired,TX,0
66770,21074,351,0.58,9,2,12,3.01,Personal,Married,3,Rented,2,24677,74373,Master's,0,Rent,1,6,Individual,1967,Retired,FL,0
34331,47808,336,0.22,43,1,48,4.72,Home Improvement,Single,0,Rented,2,71548,2920,High School,0,Own,10,11,Joint,4524,Unemployed,GA,0
61709,49901,614,0.8,0,0,36,4.89,Personal,Divorced,3,Mortgaged,1,70509,8020,PhD,0,Own,29,10,Individual,2459,Salaried,OH,1
128084,12503,756,0.78,16,0,60,3.44,Medical,Single,1,Owned,1,56540,52770,Bachelor's,1,Own,12,8,Individual,450,Salaried,PA,0
31321,49990,833,0.16,0,2,72,7.83,Personal,Divorced,1,Mortgaged,0,115760,83560,Bachelor's,0,Own,13,11,Joint,5043,Retired,FL,0
83015,22528,420,0.53,27,1,48,6.32,Business,Married,1,Owned,1,117309,11406,High School,0,Own,15,0,Joint,833,Self-Employed,MI,0
37599,33202,774,0.62,42,4,24,4.07,Medical,Single,1,Mortgaged,2,63969,9851,Bachelor's,1,Own,3,0,Individual,2922,Self-Employed,GA,0
135409,38514,301,0.52,25,0,12,13.77,Medical,Single,4,Rented,2,27515,8803,Master's,0,Rent,6,6,Joint,3519,Unemployed,IL,0
50054,57018,491,0.65,16,5,48,11.21,Personal,Widowed,5,Mortgaged,1,105341,7812,Bachelor's,1,Own,31,0,Individual,2478,Unemployed,IL,0
103435,14142,323,0.77,3,5,60,3.3,Education,Divorced,0,Mortgaged,1,59873,86839,High School,0,Rent,12,8,Joint,4752,Retired,GA,0
153040,52320,650,0.77,32,0,60,8.8,Education,Divorced,4,Mortgaged,2,32539,18576,PhD,1,Mortgage,1,0,Individual,843,Unemployed,OH,1
145502,15612,541,0.84,2,1,60,11.92,Business,Widowed,0,Rented,1,21922,24201,PhD,0,Rent,17,7,Joint,5145,Salaried,TX,0
124286,51059,581,0.72,22,0,24,10.96,Medical,Widowed,4,Owned,3,33852,64976,PhD,0,Mortgage,24,10,Joint,5167,Unemployed,CA,0
